DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID,Version
2013-10-07T14:33:35.900+00:00,19.390,-155.278,3.1,2.5,Ml,,43,0.0,0.24,hv,hv60573101,1381156769234
2013-10-07T13:32:09.600+00:00,-10.063,151.802,34.4,5.2,mb,,46,4.6,0.60,us,usb000k7xw,1381154007000
2013-10-07T12:38:36.870+00:00,35.212,142.860,29.8,4.5,mb,,190,3.3,0.33,us,usb000k7xi,1381150778000
2013-10-07T11:53:53.030+00:00,7.129,124.769,370.9,4.6,mb,,69,0.8,0.74,us,usb000k7x0,1381148041000
2013-10-07T11:49:33.930+00:00,-14.490,-73.327,64.8,4.4,mb,,90,4.2,0.70,us,usb000k7ww,1381149422000
2013-10-07T10:10:14.000+00:00,57.343,-156.585,,2.7,Ml,,,,0.65,ak,ak10818557,1381140942364
2013-10-07T08:05:56.410+00:00,-9.028,127.281,99.4,4.4,mb,,71,3.1,1.36,us,usb000k7vf,1381134369000
2013-10-07T04:26:08.200+00:00,37.889,-122.225,7.4,3.0,Mw,,32,0.0,0.14,nc,nc72082611,1381159420998
2013-10-07T04:02:17.000+00:00,18.987,-64.851,9.0,2.5,Md,8,223,0.6,0.21,pr,pr13280001,1381135777192
2013-10-07T03:26:19.000+00:00,60.140,-153.317,100.0,2.8,Ml,,,,1.46,ak,ak10818451,1381117096259
2013-10-07T01:33:44.970+00:00,-20.394,-173.879,34.3,4.6,mb,,100,6.8,1.38,us,usb000k7te,1381138580841
2013-10-07T01:06:23.600+00:00,33.786,-115.987,1.5,2.6,Ml,79,47,0.1,0.26,ci,ci11374042,1381108634878
2013-10-07T00:33:50.000+00:00,52.762,-168.065,23.0,3.2,Ml,,,,0.53,ak,ak10818410,1381125871152
2013-10-07T00:08:23.720+00:00,12.889,-86.993,126.6,4.2,mb,,132,1.2,0.49,us,usb000k7t4,1381133548606
2013-10-06T23:00:43.030+00:00,-11.316,166.375,75.7,4.8,mb,,44,6.6,0.69,us,usb000k7sy,1381129392441
2013-10-06T22:34:27.700+00:00,34.714,-116.290,1.3,2.7,Ml,38,43,0.1,0.19,ci,ci11373994,1381099510654
2013-10-06T21:33:19.340+00:00,-36.737,-97.511,10.0,5.3,mb,,49,13.9,1.54,us,usb000k7s0,1381126171163
2013-10-06T21:18:49.170+00:00,-19.820,169.083,71.6,5.0,mb,,117,1.9,1.21,us,usb000k7rx,1381111025330
2013-10-06T20:07:28.000+00:00,59.841,-153.624,100.0,2.7,Ml,,,,0.90,ak,ak10818341,1381090822270
2013-10-06T19:41:20.800+00:00,32.918,-115.872,9.1,2.9,Ml,67,29,0.1,0.36,ci,ci11373938,1381089123854
2013-10-06T17:20:40.390+00:00,-53.186,140.354,10.2,4.6,mb,,116,11.1,0.94,us,usb000k7qi,1381108998164
2013-10-06T16:42:45.500+00:00,34.717,-116.300,1.8,3.3,Ml,29,61,0.1,0.26,ci,ci11373826,1381092704000
2013-10-06T16:41:51.300+00:00,34.710,-116.294,1.5,3.6,Ml,44,43,0.1,0.16,ci,ci11373818,1381093464000
2013-10-06T16:38:08.720+00:00,12.280,141.693,104.0,6.0,mwb,,12,3.4,0.71,us,usb000k7q5,1381114569000
2013-10-06T16:16:05.080+00:00,-41.284,-85.235,10.0,5.0,mb,,132,18.2,0.61,us,usb000k7px,1381155821000
2013-10-06T15:36:53.730+00:00,16.712,-99.966,20.9,4.2,mb,,225,1.6,0.98,us,usb000k7pj,1381159140871
2013-10-06T15:10:57.660+00:00,17.284,-99.886,10.0,4.9,mb,,179,1.3,0.65,us,usb000k7p9,1381101214601
2013-10-06T14:27:52.070+00:00,17.116,-99.920,10.0,4.7,mb,,206,1.4,0.62,us,usb000k7p1,1381087784393
2013-10-06T14:26:30.700+00:00,32.977,-116.083,7.2,2.9,Ml,82,32,0.1,0.31,ci,ci11373778,1381070236038
2013-10-06T14:00:40.160+00:00,16.615,-99.824,18.6,4.3,mb,,140,1.5,0.76,us,usb000k7nx,1381096990733
2013-10-06T13:42:17.000+00:00,62.912,-150.608,105.5,3.9,Ml,,,,0.36,ak,ak10818211,1381095894785
2013-10-06T13:24:18.770+00:00,26.543,65.857,10.0,4.0,mb,,161,8.4,1.22,us,usb000k7nn,1381094806100
2013-10-06T12:48:09.090+00:00,-16.208,-69.948,192.3,4.5,mb,,129,1.7,1.43,us,usb000k7ni,1381092640251
2013-10-06T12:14:00.500+00:00,18.803,-67.410,35.0,2.5,Md,10,277,0.4,0.27,pr,pr13279009,1381063940291
2013-10-06T11:25:32.400+00:00,40.140,-121.072,,2.5,Md,,151,0.3,0.23,nc,nc72082106,1381121058816
2013-10-06T11:18:04.600+00:00,18.071,-68.197,71.0,3.3,Md,14,241,0.5,0.30,pr,pr13279008,1381063870035
2013-10-06T10:42:50.700+00:00,18.635,-66.747,17.0,2.7,Md,6,281,0.3,0.27,pr,pr13279007,1381061355476
2013-10-06T10:38:53.900+00:00,18.614,-63.759,25.0,2.6,Md,3,331,0.6,0.10,pr,pr13279006,1381060829458
2013-10-06T09:56:57.860+00:00,-7.593,128.332,138.1,4.2,mb,,73,3.0,1.41,us,usb000k7mx,1381082369325
2013-10-06T09:20:53.000+00:00,33.738,-120.077,10.0,2.7,Ml,11,256,0.4,0.15,ci,ci11373714,1381153547823
